/assets/motorino-pizza.jpg;pizza;Motorino;139 Broadway, Brooklyn, 11211
/assets/dough-donuts.jpg;donut;dough;305 Franklin Ave, Brooklyn, 11238
/assets/spot-icecream.jpg;ice cream;Spot Dessert Bar;13 St Marks Place, New York, 10003
/assets/joeandpats-pizza.jpg;pizza;Joe & Pat's;1758 Victory Boulevard, Staten Island, 10314
/assets/mileend-burger.jpg;burger;Mile End;97A Hoyt Street, Brooklyn, 11217
/assets/momofuku-icecream.jpg;ice cream;Momofuku Milk Bar;251 E 13th Street, New York, 10003
/assets/lucalis-pizza.jpg;pizza;Lucalis;575 Henry St, New York, 11231
/assets/doughnutplant1-donut.jpg;donut;doughnutplant;379 Grand Street, New York, 10003
/assets/burgerandbarrel-burger.jpg;burger;Burger & Barrel ;25 W Houston St, New York, 10012
/assets/commodore-burger.jpg;burger;The Commodore;366 Metropolitan Avenue, Brooklyn, 11238
/assets/ansel-cronut.jpg;donut;Dominique Ansel Bakery;189 Spring St, New York, 10012
/assets/saxon-burger.jpg;burger;Saxon & Parole;316 Bowery, New York, 10012
/assets/tonnos-pizza.jpg;pizza;Totonno's;1524 Neptune Avenue, Brooklyn, 11224
/assets/peterluger-burger.jpg;burger;Peter Luger Steak House;178 Broadway, Brooklyn, 11211
/assets/biggay-icecream.jpg;ice cream;Big Gay Ice Cream;125 East 7th Street, New York, 10003
/assets/dunwell-donut.jpg;donut;Dun-Well Doughnuts;22 Montrose Avenue, Brooklyn, 11206
/assets/shakeshack-burger.jpg;burger;Shake Shack;Madison Square Park, New York, 10010
/assets/spottedpig-burger.jpg;burger;The Spotted Pig;314 West 11th St, New York, 10003
/assets/robertas-pizza.jpg;pizza;Roberta's;261 Moore St, Brooklyn, 11206
/assets/bkfactory-icecream.jpg;ice cream;Brooklyn Ice Cream Factory;1 Water St, Brooklyn, 11201
/assets/zen6-burger.jpg;burger;Zen 6;328 E 6th St, New York, 10003
